"Q1: Respondent","Q2: What kind of singing do you do? Tick all that apply","Q3: What kinds of folk singing events do you attend? Tick all that apply - Selected Choice","Q4: What kinds of folk singing events do you attend? Tick all that apply - Other, please describe - Text","Q5: How many times have you been folk singing in the last four weeks?","Q6: How old were you when you first took part in a folk singing event?","Q7: Why did you choose to start folk singing?","Microphone","Standing","Instrument","Word","Q12: Please describe your ideal folk singing environment.","Q13: How well do you think you sing when you take part in a folk singing event? 
0 = I sing very badly  
10 = I sing excellently.","Q14: How important to you is it that other people are good singers at folk singing events?","Q15: How accepted do you feel when you sing at a folk singing event?","Q16: What kind of relationships do you have with people you have met at folk singing events? Please tick all that apply - Selected Choice","Q17: What kind of relationships do you have with people you have met at folk singing events? Please tick all that apply - Other, please describe - Text","Q18: What other types of music events do you take part in? Please tick all that apply - Selected Choice","Q19: What other types of music events do you take part in? Please tick all that apply - Other, please describe - Text","Q22: For how long did you / have you organised folk singing events?","Q23: Have you organised non-folk music events as well? - Selected Choice","Q24: Have you organised non-folk music events as well? - Yes, please describe - Text","Q25: What motivates you to organise folk singing events?","Q26: Have you ever actively tried to reach people who may not normally attend folk singing events?","Q27: Please describe what you did and what impacts (if any) these actions had","Q28: Have you ever actively tried to improve accessibility to your events? By â€œaccessibilityâ€, we mean removing barriers that might prevent disabled people from attending an event.","Q29: Please describe how you tried to improve accessibility to your events and what impacts (if any) these actions had","Q30: Which factors are important to you when you choose to sing a particular folk song? Please tick all that apply. - Selected Choice","Q31: Which factors are important to you when you choose to sing a particular folk song? Please tick all that apply. - Other, please describe - Text","Q32: You selected that the song's content connects you to a specific place. Please describe the place.","Q33: You selected that you like to sing about a particular topic. Please describe the topic.","Q34: You selected that the song's origin interests you. Please describe the types of origins that interest you.","Q35: You selected that you connect with the song's political message. Please describe the political message that you connect with.","Q36: Would you like to tell us anything about why you choose to sing particular songs?","Q37: Have you ever heard a song at a folk singing event that you felt was inappropriate?","Inappropriate","Q39: Did you raise this with anyone at the event?","Impact","Q41: Have you ever experienced any barriers to participating in a folk singing event? For example, something relating to mental or physical health that could not be accommodated, or feeling unwelcome due to your age, gender, sexuality or ethnicity?","Barrier","Q43: Are you aware of any attempts by the organisers of folk singing events you have attended to be more inclusive or increase accessibility to the event?","Q44: Please describe what you noticed the organiser did to be more inclusive or increase accessibility to the event.","Q45: Is there anything else you would like to tell us about your experiences relating to folk singing in England - in particular about community, identity or inclusion - that has not been covered in this survey?","Q46: We have shared this survey as widely as we can but due to the ever-changing nature of the folk scene and new kinds of events, we know we will have missed some. Are there any folk events that you think we might not know about?","Q52: What is the highest educational qualification you have obtained? - Selected Choice","Q53: What is the highest educational qualification you have obtained? - Other, please describe - Text","Q54: Which social class do you most identify with? - Selected Choice","Q55: Which social class do you most identify with? - Other, please describe - Text","Q56: Do you live in the United Kingdom?","Q57: Please provide the first part of your postcode, e.g., S35 or BD22. (This question is important for understanding the distribution of our respondents. Respondents cannot be identified from their postcode data. You will not be identified, contacted or added to any mailing lists.) - Postcode","Q58: What is your country of residence?","Q59: How would you describe your national identity? - Selected Choice","Q60: How would you describe your national identity? - Other, please describe - Text","Q67: What is your religion, if any? - Selected Choice","Q68: What is your religion, if any? - Other Christian denomination, please describe - Text","Q69: What is your religion, if any? - Any other religion, please describe - Text","Q70: Are you currently practising this religion?","PoliticalParty","Q73: If there was a general election tomorrow, which political party would you be most likely to support? - Other, please state - Text","Political","Organiser","Ethnicity","Gender","Disability","Sexuality","Age","AgeCategorical"
"Respondent 300","Perform professionally/semi-professionally,Lead songs,Sing choruses","Folk clubs,Singarounds,Open mic nights",NA,"3-5","19","My local folk club in Harrogate attracted me. This was in the 1960s.i could already play a guitar and was interested in music backed by guitars.","Don't mind","From the front / a stage","With instruments","Without a score / words","A folk club, but I've sung professionally for some 8 years in the past. Working on tv, radio, recording and concerts.","10","Very important","Very accepted","Friendships,Long-term relationships (like marriage, civil partnerships, co-habiting),Other, please describe","I met and married my late wife having met her at a folk event","Audience at non-folk festivals,Other, please describe","Open mike nights at several venues","10 to 20 years","Yes, please describe","Been involved in country music meetings and festivals","I don't organise them anymore, just attend and sing and play","Yes","Just informed friends and associates that they may enjoy attending","No",NA,"You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects you to the past,The song's content connects you to a specific place",NA,"Mostly America","Travel, a historic event or place, or occasion","Too many to successfully describe",NA,"Probably because I'm deemed good at singing and playing one of my five fine guitars. I may sound big-headed but I made a decent living at music in several countries for some eight years playing basically American old-time and Bluegrass on tv, radios, records and concerts.
I do it because I love the music, the people that I meet, and the fellow musicians that I enjoy both hearing and playing along with.","Don't know",NA,NA,NA,"No",NA,"Yes","In the sixties CND organisers were always trying to sort of promote folk music as their ""thing"" to attract more members.","No, this seems to cover it all.","I wouldn't know. It seems ok to me.","Other, please describe","Two years at Harrogate College off Art","Middle class",NA,"Yes","HG1",NA,"English",NA,"No religion",NA,NA,NA,"Other, please state","None","0","Volunteer","White UK","Male",NA,"Heterosexual/Straight",81,"61-80+"
"Respondent 301","Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Open mic nights,Other traditional community singing (like carol singing)",NA,"6-10","12","Friends and family did it.","Without a PA / microphone","Don't mind","Don't mind","Without a score / words","People singing songs with choruses that can be joined in with and harmonised with","8","Somewhat important","Very accepted","Friendships",NA,"Audience at rock/pop gigs,5",NA,"10 to 20 years","Yes, please describe","My partner put on Americana bands (mostly rock/old time American) at a local pub hall.","Encouraging the tradition of singing along which might be lost.","Yes","Most people 30 and under don't know how to respond or what questions to ask about the events - it's out of their experience and most don't want to have a go. I let them know about it, but don't push where people don't seem interested.","Yes","Ramps and leaving chair spaces in the pub hall.","You enjoy the melody,You enjoy the lyrics for their poetry,The song's content is important to preserve for future generations,Other, please describe","A song with a chorus that can be taught easily and joined in with.",NA,NA,NA,NA,"If I think they're fun or interesting to an audience.","Yes","The genre doesn't matter too much, but if someone is taking too long (often meaning that other people don't get a turn) then it seems a bit self-centred.","No","I'm very aware of keeping introductions succinct, if speaking at all. I choose songs that are usually about 3-4 mins long.","No",NA,"Yes","Making sure wheel chair users could get into the space, either with ramps, or making sure someone was available to lift up a step or two.","I'm surprised by how unaware people are, when there's so much happening around - you can hardly avoid it!
Perhaps there should be a TV programme - like Strictly or one of those programmes where people can go for a prize. 
Occasionally people tell me about something just happening in a pub (eg in Ireland), and they loved it, as if it was exotic and would only happen elsewhere, whereas it's happening all around us here in England.","Traditional Yorkshire Dales Village music and dance collective - nurtured by Bob Ellis's book of tunes, stories, songs and dances 'There was no lazy dancing'. strand@hawkswick.net","Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Middle class",NA,"Yes","HG1",NA,"English",NA,"Roman Catholic",NA,NA,"No","Liberal Democrats",NA,"5","Volunteer","White UK","Female","No","Heterosexual/Straight",57,"41-60"
"Respondent 302","Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Open mic nights,Other traditional community singing (like carol singing)",NA,"3-5","56","Drinking beer, having a laugh, and singing songs seemed like a great idea","Without a PA / microphone","From my seat / standing as part of a group","Without instruments","Without a score / words","A good pub session with an interior layout conducive to a random informal performer seating arrangement. The session area "" slightly "" detached from the general pub noise and hub-hub, but close enough for casual non performing drinkers to enjoy, or sit amongst. Couple all that with a good performer attendance and the rafters will ring.
A central figure, ( MC ), to loosely control things and ensure quieter, inexperienced, types don't miss out also helps.
On reading back I find I've just described my first foray into session singing. Eventually, it died, killed off by it's own success and the non-singing pub drinkers attracted there by the music but with attention spans that couldn't last beyond the first couple of drinks. The atmosphere was great but finding a balance between space to sing and the good pub craic is difficult.","8","Not at all important","Somewhat accepted","Friendships",NA,"Audience at non-folk festivals,I only take part in folk singing events,5",NA,"5 to 10 years","Yes, please describe","Village hall fund raising events, but usually with some sort of singing input.","When I did it, it was purely to raise money for local causes.","Yes","I've fairly regularly held sing-around evenings in my home with a guest list of both singers/players, and non-musical listeners, who almost invariably join in with the well known songs. There are no shortage of takers in either category, which I guess says it all.","No",NA,"You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to the past,The song's content connects you to a specific place",NA,"The British Isles","Work songs, nature, and history","History and human life.",NA,"For me I guess the lyric is important and when it happens to have a good melody too that's a winner. I try and avoid banal lyrics unless its a deliberate comedic send up. 
I like songs of any genre, work, love, war, nature. What catches my imagination most is where the ""poet "" has condensed the lyric to allow the singer or listener to make their own interpretation, a common fault of many amateur singer/ songwriters. Too wordy descriptions are a turn off for me and good precis skills are essential IMO. 
","Yes","I personally don't like sea songs about Whaling, or Fox or Deer hunting, although I realise they are a part of the folk song canon.","No","None, I'm broad minded enough.","No",NA,"No",NA,"I have experienced all sorts of singing sessions in pubs, clubs, festivals,  church and village halls etc. 
I have a theory that most people dislike acapella singing unless it's good, which discourages learners; short attention spans, I guess. This has taught me to be very selective with subject matter and indeed where I sing. I admit I often, chicken out, if I feel the occasion isn't right. 
I also think that most pub session attendees who come along usually with a guitar often see a singer as something to endure, before they can get back to strumming. 
Pure musicians too, e.g. fiddlers can rarely listen, they get too engrossed in their own instrument to have any interest in words. I've experienced musicians deciding not to attend sessions because waiting for their turn, on a round the room event was too long. By the same token they were unwilling to play a simple chord or two as an in between verse accompaniment to an otherwise acapella song.
IMO there is definitely a divide between those who sing, and those who play and sing, however unsuccessfully that may be.","no","GSCE and equivalent (e.g., Standard grades, first certificate; ESOL, NVQ)",NA,"Working class",NA,"Yes","YO60",NA,"English",NA,"No religion",NA,NA,NA,"Conservative Party",NA,"0","Volunteer","White UK","Male","No","Heterosexual/Straight",76,"61-80+"
"Respondent 303","Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Other traditional community singing (like carol singing)",NA,"6-10","7","I was introduced to it when my friends took me to a local folk event . 
They had sing around and beautiful guitar playing and mandolin music . 
As l enjoy singing l was encouraged to have a go unaccompanied and have carried on singing ever since","Don't mind","From the front / a stage","A mixture","With a score / words","In a local hall ideally hired for sing around.","8","Very important","Very accepted","Friendships",NA,"Sing in a classical choir,Sing in a religious group,Other, please describe","I sing for a local guitar group having guitar lessons to help keep rhythm and timing with songs they are learning.","I just organised a one-off event","No",NA,"I donâ€™t organise events just take part.","Yes","Some friends prefer classical music or jazz instead of folk music .",NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,It is similar to songs other people sing at the events you attend,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to the past,The song's content connects you to a specific place,The song's content connects you to a political message",NA,"Yorkshire Sheffield and industrial areas of the North England  especially","Yes to do with past industry eg Coal mining steel workers etc . The hardships of their work and hard livingYes Yorkshire","Where the writers come from for example Liverpool as the Beatles came from here and they sing about home at Liverpool","The difference of today compared to hardships of workers in by gone days . Low wages poor food not much work after industries closed and railways closed","I sing a broad section of genre of music . I enjoy singing folk for their tradition .
However l sing Sting s music Adeleâ€™s songs 
Beatles songs 
Folk like Tom Paxton songs songs by Jez Lowe and Dylan folk music songs","No",NA,NA,NA,"No",NA,"Yes","Made accessible for disabled to come to events","My experience of singing at folk songs has opened new doors for me. 
I now sing-in 2 choirs  One a choral at the cathedral and church singing in parts . 
Plus my helping in the guitar group .","Southwell cathedral area have a folk event . Ely has a folk event Bella in Derbyshire have folk events","Other, please describe","Two year higher N V Q equivalent to a degree for child care","Middle class",NA,"Yes","NG82SU",NA,"English",NA,"Roman Catholic",NA,NA,"Yes",NA,NA,"7","Volunteer","White UK","Female","No","In another way, please describe",65,"61-80+"
"Respondent 304","Perform professionally/semi-professionally,Lead songs","Folk clubs,Concerts,Singarounds,Folk festivals",NA,"10+","22","As an outlet for my guitar playing.","Without a PA / microphone","From the front / a stage","With instruments","Without a score / words","Folk clubs and Festivals","10","Somewhat important","Very accepted","Friendships,Professional relationships (like business collaborators, employers/employees)",NA,"Audience at rock/pop gigs,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to the past,The song's content connects you to a specific place",NA,"Some of my songs connect me to the time I spent in America.","Folklore and Romance","Historical references. eg Stone circles.",NA,"Firstly the guitar part and melody. Secondly the literal content. A particular lyric or hook can grab my attention.","No",NA,NA,NA,"No",NA,"No",NA,"Some Folk clubs can be somewhat cool towards strangers.","Probably not.","GSCE and equivalent (e.g., Standard grades, first certificate; ESOL, NVQ)",NA,"Working class",NA,"Yes","Bd6",NA,"English",NA,"No religion",NA,NA,NA,"Labour Party",NA,"0","Non-organiser","White UK","Male","No","Heterosexual/Straight",68,"61-80+"
"Respondent 305","Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds",NA,"3-5","25","I've always liked the music (tunes as well as songs). I moved to a new town for postgraduate study and found there was a good folk scene there. The club was encouraging towards new performers and became my main weekly social activity.","Without a PA / microphone","Don't mind","Without instruments","Without a score / words","An event that's not too big and where there is a good number of floor singers, so that as an individual I am not doing anything out of the ordinary. Good joining in on choruses always helps! I don't mind being part of a more limited number of singers at a guest night or concert, but that's not my first preference.","6","Somewhat important","Very accepted","Friendships",NA,"Audience at classical concerts,Sing at sporting events,5",NA,"1 to 5 years","No",NA,"I was 'volunteered' to join the committee! My perception is that a decline in the number of people involved organisationally is just as significant as declining numbers (where the latter is a problem). I don't mind doing my bit. On the other hand you want to avoid the situation in which newer participants are suddenly expected to take over the running of an event. You can get the situation where several organisers retire at the same time - that would be demotivating, unless you were the kind of person who was 'just waiting to take over'.","No",NA,"No",NA,"You enjoy the melody,You enjoy the lyrics for their poetry,It is similar to songs other people sing at the events you attend,The song's origin interests you,The song's content connects you to the past,The song's content connects you to a specific place",NA,"I often opt for songs that are set in, or were collected from singers from, my home areas, the Essex and London.",NA,"I find songs that have multiple variants interesting, and how the version I heard first relates to earlier recordings or text versions. Having said that, I wouldn't say that's as important as the tune and the words.",NA,"One or more of the following usually apply: there's a good story; there's something interesting or unusual about the verbal expressions in the song; or they are humorous. The location or source comes into it as well. The tune is also important in making a choice, but it's rare that the melody alone drives the choice (does happen occasionally).","Yes","Songs that relate to violence against women in a way that is humorous or off-hand - there is no attempt made to contextualise or critique what is being sung.","Yes","I reflected on my own choices and I think I dropped one song from my repertoire - that song didn't really fit the bill of the couple of songs I've objected to, but I didn't want to get into a long defence of whether I was guilty of double standards.","No",NA,"Yes","This is entirely dependent on whether suitable venues are available - I think venue availability is a BIG problem - but I have experienced organisers looking for better physical access when they've had to change where the club meets. This is a big deal for clubs with a membership that's not merely old in the retirement age sense but has members entering their late 70s and beyond.","I think there is a big gap between, on the one hand, clubs being welcoming to new/younger members and being aware of physical access issues and, on the other, being alert to issues around ethnicity and LGBTQ+. This is partly a generational thing. I think some clubs are so unused to seeing younger people that they don't get that younger people are likely to be much less tolerant of attitudes that might be viewed as (or actually are) discriminatory. To be honest I think this is only resolvable by younger people having their own clubs, in most cases anyway.","I think some of the smaller singarounds that happen in pubs are completely off the radar and more or less word of mouth only. It would be difficult to track these down. Perhaps the interesting thing about such events - which also applies to the very different open mic scene - is that they might well not see themselves as at all connected to the folk scene as represented by clubs and festivals. Stereotypes about the organisational forms get in the way of the music.","Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Middle class",NA,"Yes","DE56",NA,"English",NA,"Roman Catholic",NA,NA,"Yes","Labour Party",NA,"5","Volunteer","White UK","Male","No","Heterosexual/Straight",67,"61-80+"
"Respondent 306","Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals",NA,"6-10","20","My brother had a copy of the Singing Islands (MacColl & Seeger) that introduced men to 'I loved a Lass' - another had the Topic album of Tommy Armstrong songs & the singing of Maureen Craik attracted me enormously. Like a lot of people of my generation (post 2nd folk revival) my first idea of 'folk' was anyone playing an acoustic guitar & (Cohen, James Taylor, Al Stewart...). Later I discovered older traditional material. Oh, and I've always sing - in church, around the house, out walking","Without a PA / microphone","Don't mind","A mixture","Without a score / words","In a room with other people who know folk song, are prepared to join in choruses & sing songs with choruses I either know or can pick up. I love to be in company with knowledgable singers and players who can pass on rich history about songs they or I am singing. A full singaround room is tremendous, but I've had some great nights with just three or four friends trading songs and tales - and I regularly sing from the stage of a club. I help organise; that's more challenging, but the rewards when you engage with an audience are huge.","7","Somewhat important","Somewhat accepted","Friendships,Professional relationships (like business collaborators, employers/employees),Other, please describe","By 'professional relationships' I really mean the business of linking with potential and actual guests for the club I help organise, organising dates, helping carry gear, making payments etc","Audience at rock/pop gigs,Go to workshops / take private lessons,5",NA,"5 to 10 years","No",NA,"To keep our particular club going - to honour its & the broader tradition - to keep the music alive - to hear great singers & learn from them - to get the sense of community when a club night hits the heights","Yes","We decided to make all club nights free to students & have seen a reasonable increase in young students attending - predominantly NOT folk-studying students","Yes","We raised with the owners of the pub where we operate that a lift or stairlift would make us more accessible","You enjoy the melody,You enjoy the lyrics for their poetry,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects you to the past,The song's content connects you to a specific place,The song's content connects you to a political message,The song's content connects you to a specific ethnic group",NA,"Various locations in North East England - Co Durham, Tyneside, Newcastle, Northumberland if you want general headings. More specific examples would be specific streets in Newcastle, particular parts of Redesdale (Death of Parcy Reed), Stanley (Co Durham)",NA,"Mining songs, Border ballads, urban Tyneside places and characters","Union activity, battles against social injustice & oppression of workers","Having heard the song initially from a maestro or maestra; lyrical intensity of words and melody; 'umph' in a chorus; historical depth","Yes","It was a song that sought to mimic Chinese speech and caricature facial expression","Yes","It's caused me to think about when and where I might sing some old songs that might offend, either people of different ethnicities or particular individuals I know reasonably well. It led me to interrupt someone on a Zoom session I was MCeeing with 'You can't say that' - although, in further discussion it was clear that that person intended no offence","Yes","I've occasionally attended singarounds that were advertised as generally open, but it became apparent that the leaders had their own friends and acquaintances who were going to be selected ahead of strangers.

On a mental health front, I would describe myself as mildly-moderately socially/performance anxious, and on certain occasions leaders of a singing event have made throw-away comments & quips that weren't intended to cause a problem, but were a cause of discomfort to me as relatively new to a particular group. In the long term that's been something I've learned to first live with and then master, but for anyone with more severe problems, I can see it could be a serious barrier","Yes","A club I'm familiar with needed to move its location, and in checking out the options chose one with a lift to the upper room the club now uses.","Well, the obvious thing that springs to mind is that nearly everyone I know from folk circles and almost everyone I've ever met or heard sing at a club has been white. While I & friends will regularly sing songs of African American, or  Traveller origins, I've not known anyone from those origins singing.
At the club I help organise we aim to keep a gender balance in our guest list & try to make it clear that anyone who wants to song or play in 'floor spots' is encouraged to do so, but my guess is that floor spots are probably something like 60-40 male to female. That might reflect overall attendance (which would raise questions in itself), but I also have the sense that in couples who come to the club, it's more common for female partners to say 'I don't sing' than male partners. On reflection, of the two clubs I belong to, I'd say that the one with a sing around format attracts more singing from women than does the one where we song from the stage - and I can think of particular women I know to be experienced singers who will generally say 'no thanks' when offered a stage-based 'floor spot'
I hadn't previously given thought to something I'm pretty sure to be the case - that the overwhelming majority of people I know attending singing events would identify as 'straight'  In addition, I know of only two people associated with clubs and events I've been familiar with over the years who've transitioned.",NA,"Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Other, please describe","Working class origin, middle class eventuality","Yes","NE43",NA,"Other, please describe","When I'm home in England I identify as north-eastern - when I'm elsewhere in the UK I realise I'm English","Other Christian denomination, please describe","lapsed Catholic & backslidden Protestant",NA,"Yes","Labour Party",NA,"4","Volunteer","White UK","Male","Yes","Heterosexual/Straight",66,"61-80+"
"Respondent 307","Perform professionally/semi-professionally,Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Open mic nights,Other traditional community singing (like carol singing)",NA,"6-10","15","When I was growing up in the 60's, folk music was being played on the radio/TV (Steeleye Span, The Clancys, Spinners, Bob Dylan, Tom Paxton etc.) and many of my friends liked the music as much as I did.
We started going to Folk Clubs and Ceilidhs at Cecil Sharp House and felt that we could play and sing the songs. The ""Traditional"" songs particularly appealed to me as they are a link to our history and a a comment on the times.","Don't mind","Don't mind","A mixture","A mixture","Folk Club","7","Somewhat important","Very accepted","Friendships",NA,"Audience at rock/pop gigs,Sing in a religious group,5",NA,"10 to 20 years","No",NA,"To bring and share the music and traditions to everyone who attends our folk club, whether they are familiar with folk music or it is their first visit.
","Yes","Local newspaper ads, promotion via club venue brochure/website and Unicorn Magazine,our own website and Facebook page.
Very little response.","No",NA,"You enjoy the melody,You enjoy the lyrics for their poetry,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to the past",NA,NA,NA,"Napoleonic period, sea chanteys & songs, pastoral, ceremonial.",NA,"Songs that fit my vocal range and guitar style. Also, songs that resonate with me.","Yes","Excessive use of bad language, usually by a modern singer/songwriter.","No","None","No",NA,"Yes",NA,NA,NA,"A level or equivalent (e.g., AS level; Highers; International Baccalaureate diploma; access to higher education diploma)",NA,"Middle class",NA,"Yes","WD17",NA,"Other, please describe","Mixed - Irish/English","Roman Catholic",NA,NA,"Yes","Labour Party",NA,"5","Volunteer","White Other","Male","Yes","Heterosexual/Straight",75,"61-80+"
"Respondent 308","Lead songs,Sing choruses","Folk clubs,Singarounds",NA,"1-2","21","Because I like the songs","Don't mind","Don't mind","A mixture","Without a score / words","Folk club or session","7","Somewhat important","Very accepted","Friendships",NA,"Audience at classical concerts,Audience at non-folk festivals,Go to workshops / take private lessons,5",NA,"1 to 5 years","No",NA,"So I could book performers I wanted that I thought would be popular as well","No",NA,"Prefer not to say",NA,"You enjoy the lyrics for their poetry,The song's origin interests you",NA,NA,NA,"Place/history/social history",NA,"Because they may still have some relevance or they have humour","No",NA,NA,NA,"No",NA,NA,NA,"No",NA,"Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Working class",NA,"Yes","De56",NA,"English",NA,"No religion",NA,NA,NA,"Green Party",NA,"9","Volunteer","White UK","Male","Yes","Heterosexual/Straight",72,"61-80+"
"Respondent 309","Lead songs","Folk clubs,Singarounds",NA,"3-5","40","Wanted to try it","Don't mind","From my seat / standing as part of a group","A mixture","A mixture","Bar tent at end of a festival is an amazing experience! Small folk club in supportive environment I guess is where most learning is done.","4","Neutral","Somewhat accepted","Friendships,Long-term relationships (like marriage, civil partnerships, co-habiting),Professional relationships (like business collaborators, employers/employees)",NA,"Audience at non-folk festivals,Other, please describe,5","Play in various ad hoc folk bands.",NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,It is similar to songs other people sing at the events you attend,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to the past,The song's content connects you to a specific place,The song's content connects you to a political message",NA,"Safe supported environment to express the song's content - to tell the story of it","Ended up singing life and love songs somehow.. and environmental songs.","The singer that I know I can sing along to. The story behind the song. The emotions generated by the song. The challenge of the lyrics/pitch. Sometimes just because I like the song!","Environmental protection. Resisting injustice from people.",NA,"No",NA,NA,NA,"No",NA,NA,NA,"Mostly older white people taking part. Would love to see and hear more multicultural voices but guess the general festivals would interest them much more than trad English folk festivals?? 
Eg. Fisherman's friends singing about whaling at Glastonbury by a Greenpeace banner..",NA,"Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Middle class",NA,"Yes","Ln8",NA,"British",NA,"Any other religion, please describe",NA,"Christian Buddhist mix","Prefer not to say","Liberal Democrats",NA,"5","Non-organiser","White UK","Female","Yes","Heterosexual/Straight",50,"41-60"
"Respondent 310","Lead songs,Sing choruses","Folk clubs,Singarounds,Open mic nights",NA,"1-2","5","I like folk music, group singing, and performing.","Without a PA / microphone","Don't mind","A mixture","A mixture","I like variety. I enjoy pub sessions, folk club singarounds, open mic nights and other events.","6","Neutral","Somewhat accepted","I do not have any personal relationships with people I meet at folk singing events",NA,"Audience at classical concerts,Audience at non-folk festivals,Sing in a religious group",NA,"Under 1 year","No",NA,"Give myself and others chance to sing.","No",NA,"Yes","I organised a sing/play around as part of a fan event (which was not generally about folk singing). The event was hybrid - partly live, partly over video conference - and I ensured my event would work in this format and video participants were included.","You enjoy the melody,You enjoy the lyrics for their poetry",NA,NA,NA,NA,NA,"I sing songs I like and sometimes ones others will be able to join in with. I also write some songs of my own.","No",NA,NA,NA,"No",NA,"No",NA,"No thanks.",NA,"Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Middle class",NA,"Yes","MK5",NA,"English",NA,"Church of England / Anglican",NA,NA,"Yes","Other, please state","Prefer not to say.","5","Volunteer","White UK","Male","No","Heterosexual/Straight",50,"41-60"
"Respondent 311","Perform professionally/semi-professionally,Lead songs,Sing choruses","Folk clubs,Concerts,Folk festivals",NA,"0","15","As a novice guitarist I found a book of folk songs which I was able to play.","Don't mind","Don't mind","A mixture","Without a score / words","Folk club","7","Somewhat important","Very accepted","Friendships",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,It is similar to songs other people sing at the events you attend,The song's origin interests you",NA,NA,NA,"Depends on the song",NA,NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,NA,"Other, please describe","Professional qualification","Middle class",NA,"Yes","Sk10",NA,"Other, please describe","British and English","No religion",NA,NA,NA,"Conservative Party",NA,"6","Non-organiser","White UK","Male","No","Heterosexual/Straight",68,"61-80+"
"Respondent 312","Perform professionally/semi-professionally","Folk clubs,Concerts,Folk festivals,Open mic nights",NA,"1-2","16","Pleasure","Don't mind","From the front / a stage","With instruments","Without a score / words","Small room 70-120 capacity","7","Somewhat important","Somewhat accepted","Friendships,Long-term relationships (like marriage, civil partnerships, co-habiting),Professional relationships (like business collaborators, employers/employees)",NA,"Audience at rock/pop gigs,Audience at classical concerts,Audience at non-folk festivals,5",NA,"Over 20 years","Yes, please describe",NA,"Other people aren't doing what I'd like to see happen, or doing it badly.","Yes","Journalism, radio presentation. Usually effective.","No",NA,"You enjoy the melody,You enjoy the lyrics for their poetry,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to the past,The song's content connects you to a specific place,The song's content connects you to a political message",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"No",NA,"Yes","Engaging with different age and ethnic groups","Although I'm roughly the same age as most typical folk club audiences, I find them depressingly old in outlook, lacking in energy, intolerant of younger people and ""don't get out enough"" musically. They put me off, so I can only imagine how offputting they are to younger people.",NA,"A level or equivalent (e.g., AS level; Highers; International Baccalaureate diploma; access to higher education diploma)",NA,"Other, please describe","Classless","Yes","CB4",NA,"English",NA,"No religion",NA,NA,NA,"Green Party",NA,"9","Professional","White UK","Male","No","Heterosexual/Straight",75,"61-80+"
"Respondent 313","Sing choruses","Folk clubs,Singarounds,Folk festivals,Open mic nights,Folk choir",NA,"0","9","Parental influence","Without a PA / microphone","From my seat / standing as part of a group","Don't mind","Without a score / words","Singaround","5","Very important","Very accepted","I do not have any personal relationships with people I meet at folk singing events",NA,"Go to workshops / take private lessons,I only take part in folk singing events,Other, please describe","Folk musicand morris dance",NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,The song's content connects you to a specific ethnic group",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,"Postgraduate research degree (e.g., PhD, DPhil)",NA,"Middle class",NA,"Yes","Po20",NA,"English",NA,"Church of England / Anglican",NA,NA,"No","Liberal Democrats",NA,"0","Non-organiser","White UK","Male","No","Heterosexual/Straight",63,"61-80+"
